group_id,post_id,group_name,target_comments,crawled_comments,percent_crawled
nuoiconbangsuacongthu,1014519244136029,Nuôi Con Bằng Sữa Công Thức,946,20,2.1
6183167068463220,25638121979207772,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,930,20,2.2
402671786045954,901851496127978,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,1740,60,3.4
183774529022936,2181205532613149,HỘI REVIEW BỈM SỮA CHO BÉ <3,1344,62,4.6
912404789814271,1674428776945198,REVIEW CÁC LOẠI SỮA CÔNG THỨC CHO BÉ YÊU,1144,60,5.2
6183167068463220,25637773602575943,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1045,90,8.6
183774529022936,1872638450136527,HỘI REVIEW BỈM SỮA CHO BÉ <3,1723,160,9.3
6183167068463220,9207902435989653,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1014,109,10.7
6183167068463220,26680062115013748,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1305,175,13.4
nuoiconbangsuacongthu,1096437945944158,Nuôi Con Bằng Sữa Công Thức,1205,199,16.5
6183167068463220,26474146885605273,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1711,290,16.9
804858320013004,2471271936704959,HỘI REVIEW SỮA CÔNG THỨC,1123,207,18.4
183774529022936,1966059467461091,HỘI REVIEW BỈM SỮA CHO BÉ <3,2625,519,19.8
1710547889070752,9956312664494192,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,778,155,19.9
nuoiconbangsuacongthu,1029466755974611,Nuôi Con Bằng Sữa Công Thức,2897,629,21.7
804858320013004,2521619958336823,HỘI REVIEW SỮA CÔNG THỨC,1160,254,21.9
6183167068463220,9157194614393769,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1154,266,23.1
183774529022936,2044215792978791,HỘI REVIEW BỈM SỮA CHO BÉ <3,2852,801,28.1
6183167068463220,9333327893447106,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1443,435,30.1
183774529022936,1837363313664041,HỘI REVIEW BỈM SỮA CHO BÉ <3,1516,483,31.9
183774529022936,1811769016223471,HỘI REVIEW BỈM SỮA CHO BÉ <3,1432,460,32.1
183774529022936,1915737469159958,HỘI REVIEW BỈM SỮA CHO BÉ <3,1433,485,33.8
6183167068463220,24647430094943637,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,2625,951,36.2
6183167068463220,26668725322814094,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1326,533,40.2
1710547889070752,8697775783681226,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,547,222,40.6
1710547889070752,8802918259833644,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,531,216,40.7
804858320013004,2397431057422381,HỘI REVIEW SỮA CÔNG THỨC,540,221,40.9
183774529022936,2029324444467926,HỘI REVIEW BỈM SỮA CHO BÉ <3,1332,559,42
nuoiconbangsuacongthu,1094138206174132,Nuôi Con Bằng Sữa Công Thức,1208,512,42.4
6183167068463220,24227614093591908,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1007,448,44.5
reviewsuacongthuc,24229363293323634,Hội Review sữa công thức có tâm!!!,573,256,44.7
183774529022936,1829478964452476,HỘI REVIEW BỈM SỮA CHO BÉ <3,1452,670,46.1
183774529022936,1841441579922881,HỘI REVIEW BỈM SỮA CHO BÉ <3,1557,722,46.4
402671786045954,969305389382588,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,1906,899,47.2
804858320013004,2483691245463028,HỘI REVIEW SỮA CÔNG THỨC,622,294,47.3
nuoiconbangsuacongthu,1103645431890076,Nuôi Con Bằng Sữa Công Thức,1205,582,48.3
183774529022936,2029961421070895,HỘI REVIEW BỈM SỮA CHO BÉ <3,1324,655,49.5
reviewsuact,2055215701906124,💞 REVIEW SỮA CÔNG THỨC💞,1355,690,50.9
804858320013004,2430199357478884,HỘI REVIEW SỮA CÔNG THỨC,754,388,51.5
183774529022936,1822953668438339,HỘI REVIEW BỈM SỮA CHO BÉ <3,1329,693,52.1
804858320013004,2459031577928995,HỘI REVIEW SỮA CÔNG THỨC,502,265,52.8
riviesuacongthuc,4390571821199715,💞💞 REVIEW SỮA CÔNG THỨC💞💞,1437,776,54
183774529022936,1988294838570887,HỘI REVIEW BỈM SỮA CHO BÉ <3,1353,730,54
reviewsuact,2074441213316906,💞 REVIEW SỮA CÔNG THỨC💞,1328,720,54.2
